timestamp,Infrared to Red Signal Ratio
10/24/19 00:00:32,6
10/24/19 00:01:32,-10
10/24/19 00:02:32,-2
10/24/19 00:03:32,6
10/24/19 00:04:32,0
10/24/19 00:05:32,13
10/24/19 00:06:32,3
10/24/19 00:07:32,7
10/24/19 00:08:32,-1
10/24/19 00:09:32,-10
10/24/19 00:10:32,0
10/24/19 00:11:32,0
10/24/19 00:12:32,-2
10/24/19 00:13:32,0
10/24/19 00:14:32,0
10/24/19 00:15:32,7
10/24/19 00:16:31,-3
10/24/19 00:17:31,-1
10/24/19 00:18:31,1
10/24/19 00:19:31,7
10/24/19 00:20:31,3
10/24/19 00:21:31,-1
10/24/19 00:22:31,6
10/24/19 00:23:31,-9
10/24/19 00:24:31,3
10/24/19 00:25:31,0
10/24/19 00:26:31,-2
10/24/19 00:27:31,1
10/24/19 00:28:31,0
10/24/19 00:29:31,-13
10/24/19 00:30:31,-59
10/24/19 00:31:31,-11
10/24/19 00:32:31,0
10/24/19 00:33:31,0
10/24/19 00:34:31,5
10/24/19 00:35:31,-6
10/24/19 00:36:31,0
10/24/19 00:37:31,-5
10/24/19 00:38:31,7
10/24/19 00:39:31,-2
10/24/19 00:40:31,-8
10/24/19 00:41:31,-5
10/24/19 00:42:31,-20
10/24/19 00:43:33,0
10/24/19 00:44:33,-2
10/24/19 00:45:33,-23
10/24/19 00:46:32,0
10/24/19 00:47:32,-1
10/24/19 00:48:32,-14
10/24/19 00:49:32,18
10/24/19 00:50:32,-10
10/24/19 00:51:32,-3
10/24/19 00:52:32,-1
10/24/19 00:53:32,-1
10/24/19 00:54:32,9
10/24/19 00:55:32,3
10/24/19 00:56:32,6
10/24/19 00:57:32,0
10/24/19 00:58:32,-6
10/24/19 00:59:32,31
10/24/19 01:00:32,-7
10/24/19 01:01:32,2
10/24/19 01:02:32,38
10/24/19 01:03:32,1
10/24/19 01:04:32,0
10/24/19 01:05:32,-1
10/24/19 01:06:32,3
10/24/19 01:07:32,0
10/24/19 01:08:32,12
10/24/19 01:09:32,12
10/24/19 01:10:32,47
10/24/19 01:11:32,-2
10/24/19 01:12:32,39
10/24/19 01:13:32,45
10/24/19 01:14:32,-4
10/24/19 01:15:32,16
10/24/19 01:16:32,-2
10/24/19 01:17:31,4
10/24/19 01:18:31,55
10/24/19 01:19:31,14
10/24/19 01:20:31,0
10/24/19 01:21:31,11
10/24/19 01:22:31,24
10/24/19 01:23:31,-6
10/24/19 01:24:31,-7
10/24/19 01:25:31,0
10/24/19 01:26:31,34
10/24/19 01:27:31,-12
10/24/19 01:28:31,-2
10/24/19 01:29:31,-2
10/24/19 01:30:31,0
10/24/19 01:31:31,2
10/24/19 01:32:31,8
10/24/19 01:33:31,0
10/24/19 01:34:31,0
10/24/19 01:35:31,-18
10/24/19 01:36:31,32
10/24/19 01:37:31,1
10/24/19 01:38:31,-10
10/24/19 01:39:31,0
10/24/19 01:40:31,3
10/24/19 01:41:33,47
10/24/19 01:42:33,-1
10/24/19 01:43:34,0
10/24/19 01:44:34,-7
10/24/19 01:45:34,0
10/24/19 01:46:34,-1
10/24/19 01:47:33,35
10/24/19 01:48:33,-1
10/24/19 01:49:33,-4
10/24/19 01:50:33,1
10/24/19 01:51:33,-9
10/24/19 01:52:33,0
10/24/19 01:53:33,-3
10/24/19 01:54:33,5
10/24/19 01:55:33,-16
10/24/19 01:56:33,-15
10/24/19 01:57:33,-34
10/24/19 01:58:33,0
10/24/19 01:59:33,-1
10/24/19 02:00:33,3
10/24/19 02:01:33,-1
10/24/19 02:02:33,-2
10/24/19 02:03:33,-26
10/24/19 02:04:33,11
10/24/19 02:05:33,-2
10/24/19 02:06:33,5
10/24/19 02:07:33,0
10/24/19 02:08:33,8
10/24/19 02:09:33,-4
10/24/19 02:10:33,-4
10/24/19 02:11:33,4
10/24/19 02:12:33,1
10/24/19 02:13:33,23
10/24/19 02:14:33,-1
10/24/19 02:15:33,-2
10/24/19 02:16:33,3
10/24/19 02:17:33,5
10/24/19 02:18:32,0
10/24/19 02:19:32,-12
10/24/19 02:20:32,-11
10/24/19 02:21:32,-7
10/24/19 02:22:32,-7
10/24/19 02:23:32,16
10/24/19 02:24:32,1
10/24/19 02:25:32,0
10/24/19 02:26:32,2
10/24/19 02:27:32,0
10/24/19 02:28:32,0
10/24/19 02:29:32,-1
10/24/19 02:30:32,2
10/24/19 02:31:32,-17
10/24/19 02:32:32,-1
