timestamp,Infrared to Red Signal Ratio
01/11/19 00:37:00,5
01/11/19 00:47:00,6
01/11/19 00:48:00,-5
01/11/19 00:49:00,2
01/11/19 00:50:00,-1
01/11/19 00:51:00,0
01/11/19 00:52:00,-10
01/11/19 00:53:00,0
01/11/19 00:54:00,-14
01/11/19 00:55:00,-4
01/11/19 00:56:00,-8
01/11/19 00:57:00,8
01/11/19 00:58:00,-1
01/11/19 00:59:00,-5
01/11/19 01:00:00,7
01/11/19 01:01:00,-3
01/11/19 01:02:00,-1
01/11/19 01:03:59,0
01/11/19 01:04:59,0
01/11/19 01:05:59,18
01/11/19 01:06:59,-7
01/11/19 01:07:59,0
01/11/19 01:08:59,-5
01/11/19 01:09:59,-1
01/11/19 01:10:59,0
01/11/19 01:11:59,-5
01/11/19 01:12:59,-8
01/11/19 01:13:59,0
01/11/19 01:14:59,-13
01/11/19 01:15:59,-16
01/11/19 01:16:59,0
01/11/19 01:17:59,-1
01/11/19 01:18:59,1
01/11/19 01:19:59,0
01/11/19 01:20:59,-20
01/11/19 01:21:59,34
01/11/19 01:22:59,7
01/11/19 01:23:59,6
01/11/19 01:24:59,4
01/11/19 01:25:59,0
01/11/19 01:26:59,-5
01/11/19 01:27:59,2
01/11/19 01:28:59,-2
01/11/19 01:29:59,-2
01/11/19 01:30:59,0
01/11/19 01:31:59,-6
01/11/19 01:32:59,0
01/11/19 01:33:58,-3
01/11/19 01:34:58,2
01/11/19 01:35:58,-17
01/11/19 01:36:58,-8
01/11/19 01:37:58,0
01/11/19 01:38:58,-25
01/11/19 01:39:58,-10
01/11/19 01:40:58,-2
01/11/19 01:41:58,-30
01/11/19 01:42:58,-31
01/11/19 01:43:58,0
01/11/19 01:44:58,-1
01/11/19 01:45:58,-2
01/11/19 01:46:58,-2
01/11/19 01:47:58,-36
01/11/19 01:48:58,12
01/11/19 01:49:58,-8
01/11/19 01:50:58,0
01/11/19 01:51:58,3
01/11/19 01:52:58,-4
01/11/19 01:53:58,37
01/11/19 01:54:58,-8
01/11/19 01:55:58,0
01/11/19 01:56:58,0
01/11/19 01:57:58,-1
01/11/19 01:58:58,0
01/11/19 01:59:58,0
01/11/19 02:00:58,0
01/11/19 02:01:58,-1
01/11/19 02:02:58,3
01/11/19 02:03:58,1
01/11/19 02:04:57,3
01/11/19 02:05:57,-4
01/11/19 02:06:57,0
01/11/19 02:07:57,0
01/11/19 02:08:57,-4
01/11/19 02:09:57,1
01/11/19 02:10:57,0
01/11/19 02:11:57,0
01/11/19 02:12:57,0
01/11/19 02:13:57,0
01/11/19 02:14:57,0
01/11/19 02:15:57,0
01/11/19 02:16:57,0
01/11/19 02:17:57,2
01/11/19 02:18:57,9
01/11/19 02:19:57,2
01/11/19 02:20:57,0
01/11/19 02:21:57,0
