timestamp,Infrared to Red Signal Ratio
09/12/19 00:00:30,-1
09/12/19 00:01:30,0
09/12/19 00:02:32,-19
09/12/19 00:03:32,1
09/12/19 00:04:32,26
09/12/19 00:05:31,-3
09/12/19 00:06:31,-4
09/12/19 00:07:31,-2
09/12/19 00:08:31,-2
09/12/19 00:09:31,4
09/12/19 00:10:31,3
09/12/19 00:11:31,11
09/12/19 00:12:31,-37
09/12/19 00:13:31,-10
09/12/19 00:14:31,0
09/12/19 00:15:31,-58
09/12/19 00:16:31,-31
09/12/19 00:17:31,-20
09/12/19 00:18:31,-9
09/12/19 00:19:31,43
09/12/19 00:20:31,-39
09/12/19 00:21:31,-2
09/12/19 00:22:31,-2
09/12/19 00:23:31,-25
09/12/19 00:24:31,4
09/12/19 00:25:31,0
09/12/19 00:26:31,-2
09/12/19 00:27:31,0
09/12/19 00:28:31,-1
09/12/19 00:29:31,6
09/12/19 00:30:31,0
09/12/19 00:31:31,-4
09/12/19 00:32:31,-7
09/12/19 00:33:31,-4
09/12/19 00:34:31,-1
09/12/19 00:35:30,3
09/12/19 00:36:30,-1
09/12/19 00:37:30,-1
09/12/19 00:38:30,-2
09/12/19 00:39:30,-18
09/12/19 00:40:30,4
09/12/19 00:41:30,-10
09/12/19 00:42:30,-56
09/12/19 00:43:30,-3
09/12/19 00:44:30,-7
09/12/19 00:45:30,-1
09/12/19 00:46:30,15
09/12/19 00:47:30,11
09/12/19 00:48:30,1
09/12/19 00:49:30,-1
09/12/19 00:50:30,-8
09/12/19 00:51:30,-2
09/12/19 00:52:30,-1
09/12/19 00:53:30,-4
09/12/19 00:54:30,-1
09/12/19 00:55:30,1
09/12/19 00:56:30,7
09/12/19 00:57:30,0
09/12/19 00:58:30,53
09/12/19 00:59:30,0
09/12/19 01:00:30,21
09/12/19 01:01:30,-1
09/12/19 01:02:30,8
09/12/19 01:03:32,-1
09/12/19 01:04:32,-13
09/12/19 01:05:32,0
09/12/19 01:06:31,10
09/12/19 01:07:31,-69
09/12/19 01:08:31,-55
09/12/19 01:09:31,0
09/12/19 01:10:31,-7
09/12/19 01:11:31,-6
09/12/19 01:12:31,-1
09/12/19 01:13:31,19
09/12/19 01:14:31,1
09/12/19 01:15:31,-37
09/12/19 01:16:31,-3
09/12/19 01:17:31,-3
09/12/19 01:18:31,17
09/12/19 01:19:31,1
09/12/19 01:20:31,-1
09/12/19 01:21:31,-49
09/12/19 01:22:31,2
09/12/19 01:23:31,-9
09/12/19 01:24:31,-3
09/12/19 01:25:31,-1
09/12/19 01:26:31,-4
09/12/19 01:27:31,0
09/12/19 01:28:31,-12
09/12/19 01:29:31,-11
09/12/19 01:30:31,10
09/12/19 01:31:31,-11
09/12/19 01:32:31,-34
09/12/19 01:33:31,-8
09/12/19 01:34:31,-1
09/12/19 01:35:31,5
09/12/19 01:36:30,-8
09/12/19 01:37:30,0
09/12/19 01:38:30,8
09/12/19 01:39:30,-1
09/12/19 01:40:30,-3
09/12/19 01:41:30,0
09/12/19 01:42:30,1
09/12/19 01:43:30,1
09/12/19 01:44:30,-3
09/12/19 01:45:30,1
09/12/19 01:46:30,-13
09/12/19 01:47:30,0
09/12/19 01:48:30,5
09/12/19 01:49:30,-3
09/12/19 01:50:30,-2
09/12/19 01:51:30,-1
09/12/19 01:52:30,-2
09/12/19 01:53:30,12
09/12/19 01:54:30,-1
09/12/19 01:55:30,31
09/12/19 01:56:30,4
09/12/19 01:57:30,22
09/12/19 01:58:30,0
09/12/19 01:59:30,-4
09/12/19 02:00:30,-4
09/12/19 02:01:30,4
09/12/19 02:02:30,3
09/12/19 02:03:30,-5
09/12/19 02:04:30,0
09/12/19 02:05:30,-1
09/12/19 02:06:30,-12
09/12/19 02:07:29,-3
09/12/19 02:08:29,-1
09/12/19 02:09:29,4
09/12/19 02:10:29,-11
09/12/19 02:11:29,-24
09/12/19 02:12:29,-1
09/12/19 02:13:29,18
09/12/19 02:14:29,22
09/12/19 02:15:29,-1
09/12/19 02:16:29,-1
09/12/19 02:17:29,-21
09/12/19 02:18:29,4
09/12/19 02:19:29,-1
09/12/19 02:20:29,-2
09/12/19 02:21:29,-12
09/12/19 02:22:29,-11
09/12/19 02:23:29,29
09/12/19 02:24:29,8
09/12/19 02:25:29,-2
09/12/19 02:26:29,2
09/12/19 02:27:29,3
09/12/19 02:28:29,-39
09/12/19 02:29:29,-2
09/12/19 02:30:29,-1
09/12/19 02:31:29,-1
09/12/19 02:32:29,-1
09/12/19 02:33:29,-5
09/12/19 02:34:29,6
09/12/19 02:35:29,-3
09/12/19 02:36:29,-12
09/12/19 02:37:28,-2
09/12/19 02:38:28,-1
09/12/19 02:39:28,3
09/12/19 02:40:28,-1
09/12/19 02:41:28,-3
09/12/19 02:42:28,-4
09/12/19 02:43:28,0
09/12/19 02:44:28,0
09/12/19 02:45:28,0
09/12/19 02:46:28,0
09/12/19 02:47:28,0
09/12/19 02:48:28,-5
09/12/19 02:49:28,0
09/12/19 02:50:28,0
09/12/19 02:51:28,-1
09/12/19 02:52:28,-2
09/12/19 02:53:28,-15
09/12/19 02:54:28,0
09/12/19 02:55:28,2
09/12/19 02:56:28,-1
09/12/19 02:57:28,-7
09/12/19 02:58:28,-3
09/12/19 02:59:28,0
09/12/19 03:00:28,-2
09/12/19 03:01:28,-4
09/12/19 03:02:28,0
09/12/19 03:03:28,-1
09/12/19 03:04:30,-1
09/12/19 03:05:30,0
09/12/19 03:06:30,-1
09/12/19 03:07:29,2
09/12/19 03:08:29,-4
09/12/19 03:09:29,-13
09/12/19 03:10:29,0
09/12/19 03:11:29,-8
09/12/19 03:12:29,-1
09/12/19 03:13:29,-4
09/12/19 03:14:29,0
09/12/19 03:15:29,-2
09/12/19 03:16:29,0
09/12/19 03:17:29,4
09/12/19 03:18:29,-20
09/12/19 03:19:29,-1
09/12/19 03:20:29,14
09/12/19 03:21:29,39
09/12/19 03:22:29,6
09/12/19 03:23:29,-1
09/12/19 03:24:29,-2
09/12/19 03:25:29,-1
09/12/19 03:26:29,1
09/12/19 03:27:29,0
09/12/19 03:28:29,-3
09/12/19 03:29:29,0
09/12/19 03:30:29,-2
09/12/19 03:31:29,-1
09/12/19 03:32:29,-13
09/12/19 03:33:29,5
09/12/19 03:34:29,0
09/12/19 03:35:29,0
09/12/19 03:36:29,-1
09/12/19 03:37:29,-3
09/12/19 03:38:28,-2
09/12/19 03:39:28,-2
09/12/19 03:40:28,-1
09/12/19 03:41:28,0
09/12/19 03:42:28,34
09/12/19 03:43:28,1
09/12/19 03:44:28,14
09/12/19 03:45:28,3
09/12/19 03:46:28,4
09/12/19 03:47:28,-3
09/12/19 03:48:28,1
09/12/19 03:49:28,0
09/12/19 03:50:28,11
09/12/19 03:51:28,-20
09/12/19 03:52:28,-1
09/12/19 03:53:28,0
09/12/19 03:54:28,1
09/12/19 03:55:28,-3
09/12/19 03:56:28,4
09/12/19 03:57:28,-8
09/12/19 03:58:28,18
09/12/19 03:59:28,-5
09/12/19 04:00:28,0
09/12/19 04:01:28,0
09/12/19 04:02:28,0
09/12/19 04:03:28,0
09/12/19 04:04:28,1
09/12/19 04:05:30,6
09/12/19 04:06:30,-1
09/12/19 04:07:30,-1
09/12/19 04:08:29,0
09/12/19 04:09:29,-6
09/12/19 04:10:29,0
09/12/19 04:11:29,0
09/12/19 04:12:29,0
09/12/19 04:13:29,-1
09/12/19 04:14:29,-1
09/12/19 04:15:29,-1
09/12/19 04:16:29,-1
09/12/19 04:17:29,4
09/12/19 04:18:29,2
09/12/19 04:19:29,14
09/12/19 04:20:29,14
09/12/19 04:21:29,0
09/12/19 04:22:29,-2
09/12/19 04:23:29,0
09/12/19 04:24:29,0
09/12/19 04:25:29,8
09/12/19 04:26:29,0
09/12/19 04:27:29,13
09/12/19 04:28:29,-1
09/12/19 04:29:29,-2
09/12/19 04:30:29,-1
09/12/19 04:31:29,2
09/12/19 04:32:29,-1
09/12/19 04:33:29,-1
09/12/19 04:34:29,12
09/12/19 04:35:29,-1
09/12/19 04:36:29,0
09/12/19 04:37:29,20
09/12/19 04:38:28,7
09/12/19 04:39:28,9
09/12/19 04:40:28,0
09/12/19 04:41:28,9
09/12/19 04:42:28,4
09/12/19 04:43:28,18
09/12/19 04:44:28,1
09/12/19 04:45:28,0
09/12/19 04:46:28,20
09/12/19 04:47:28,-2
09/12/19 04:48:28,-10
09/12/19 04:49:28,2
09/12/19 04:50:28,-8
09/12/19 04:51:28,3
09/12/19 04:52:28,15
09/12/19 04:53:28,11
09/12/19 04:54:28,0
09/12/19 04:55:28,-3
09/12/19 04:56:28,-2
09/12/19 04:57:28,-1
09/12/19 04:58:28,0
09/12/19 04:59:28,-1
09/12/19 05:00:28,-1
09/12/19 05:01:28,0
09/12/19 05:02:28,-20
09/12/19 05:03:28,15
09/12/19 05:04:28,3
09/12/19 05:05:30,13
09/12/19 05:06:30,-4
09/12/19 05:07:30,-4
09/12/19 05:08:29,-2
09/12/19 05:09:29,3
09/12/19 05:10:29,-1
09/12/19 05:11:29,6
09/12/19 05:12:29,-1
09/12/19 05:13:29,11
09/12/19 05:14:29,26
09/12/19 05:15:29,-6
09/12/19 05:16:29,13
09/12/19 05:17:29,-7
09/12/19 05:18:29,-2
09/12/19 05:19:29,9
09/12/19 05:20:29,-4
09/12/19 05:21:29,0
09/12/19 05:22:29,12
09/12/19 05:23:29,-3
09/12/19 05:24:29,-2
09/12/19 05:25:29,0
09/12/19 05:26:29,-6
09/12/19 05:27:29,-10
09/12/19 05:28:29,-15
09/12/19 05:29:29,0
09/12/19 05:30:29,0
09/12/19 05:31:29,0
09/12/19 05:32:29,0
09/12/19 05:33:29,7
09/12/19 05:34:29,0
09/12/19 05:35:29,-2
09/12/19 05:36:29,0
09/12/19 05:37:29,0
09/12/19 05:38:29,2
09/12/19 05:39:28,-3
09/12/19 05:40:28,-6
09/12/19 05:41:28,9
09/12/19 05:42:28,-17
09/12/19 05:43:28,13
09/12/19 05:44:28,0
09/12/19 05:45:28,-12
09/12/19 05:46:28,-4
09/12/19 05:47:28,1
09/12/19 05:48:28,-9
09/12/19 05:49:28,10
09/12/19 05:50:28,-1
09/12/19 05:51:28,0
09/12/19 05:52:28,3
09/12/19 05:53:28,0
09/12/19 05:54:28,-12
09/12/19 05:55:28,-2
09/12/19 05:56:28,-8
09/12/19 05:57:28,1
09/12/19 05:58:28,2
09/12/19 05:59:28,0
09/12/19 06:00:28,1
09/12/19 06:01:28,-1
09/12/19 06:02:28,-3
09/12/19 06:03:28,-2
09/12/19 06:04:28,-3
09/12/19 06:05:28,11
09/12/19 06:06:30,-19
09/12/19 06:07:30,-8
09/12/19 06:08:30,-27
09/12/19 06:09:29,-12
09/12/19 06:10:29,-5
09/12/19 06:11:29,-5
09/12/19 06:12:31,-1
09/12/19 06:13:31,-6
09/12/19 06:14:31,-2
09/12/19 06:15:31,1
09/12/19 06:16:31,6
09/12/19 06:17:31,10
09/12/19 06:18:31,-1
09/12/19 06:19:31,0
09/12/19 06:20:31,3
09/12/19 06:21:31,-6
09/12/19 23:12:00,1
09/12/19 23:13:00,-9
09/12/19 23:27:30,2
09/12/19 23:28:30,-4
09/12/19 23:29:30,0
09/12/19 23:30:30,0
09/12/19 23:31:30,1
09/12/19 23:32:30,-13
09/12/19 23:33:30,-1
09/12/19 23:34:30,17
09/12/19 23:35:30,2
09/12/19 23:36:30,4
09/12/19 23:37:30,-5
09/12/19 23:38:30,-1
09/12/19 23:39:30,-1
09/12/19 23:40:30,-4
09/12/19 23:41:30,-1
09/12/19 23:42:30,-1
09/12/19 23:43:30,-1
09/12/19 23:44:30,-1
09/12/19 23:45:30,0
09/12/19 23:46:30,0
09/12/19 23:47:30,0
09/12/19 23:48:30,0
09/12/19 23:49:30,-2
09/12/19 23:50:30,0
09/12/19 23:51:32,-1
09/12/19 23:52:32,0
09/12/19 23:53:31,-1
09/12/19 23:54:31,-4
09/12/19 23:55:31,0
09/12/19 23:56:31,-2
09/12/19 23:57:31,0
09/12/19 23:58:31,1
09/12/19 23:59:31,0
