timestamp,Infrared to Red Signal Ratio
12/31/17 02:25:30,1
12/31/17 02:40:00,4
12/31/17 02:41:00,10
12/31/17 02:42:00,0
12/31/17 02:43:00,2
12/31/17 02:44:00,0
12/31/17 02:45:00,-1
12/31/17 02:46:00,-8
12/31/17 02:47:00,0
12/31/17 02:48:59,-1
12/31/17 02:49:59,-1
12/31/17 02:50:59,2
12/31/17 02:51:59,-1
12/31/17 02:52:59,8
12/31/17 02:53:59,0
12/31/17 02:54:59,3
12/31/17 02:55:59,9
12/31/17 02:56:59,6
12/31/17 02:57:59,1
12/31/17 02:58:59,0
12/31/17 02:59:59,9
12/31/17 03:00:59,1
12/31/17 03:01:59,2
12/31/17 03:02:59,2
12/31/17 03:03:59,-1
12/31/17 03:04:59,2
12/31/17 03:05:59,5
12/31/17 03:06:59,4
12/31/17 03:07:59,-1
12/31/17 03:08:59,-3
12/31/17 03:09:59,-4
12/31/17 03:10:59,0
12/31/17 03:11:59,0
12/31/17 03:12:59,5
12/31/17 03:13:59,10
12/31/17 03:14:59,11
12/31/17 03:15:59,1
12/31/17 03:16:59,5
12/31/17 03:17:59,4
12/31/17 03:18:58,16
12/31/17 03:19:58,0
12/31/17 03:20:58,13
12/31/17 03:21:58,12
12/31/17 03:22:58,7
12/31/17 03:23:58,-10
12/31/17 03:24:58,10
12/31/17 03:25:58,-7
12/31/17 03:26:58,1
12/31/17 03:27:58,-10
12/31/17 03:28:58,1
12/31/17 03:29:58,6
12/31/17 03:30:58,0
12/31/17 03:31:58,-1
12/31/17 03:32:58,41
12/31/17 03:33:58,-1
12/31/17 03:34:58,3
12/31/17 03:35:58,0
12/31/17 03:36:58,0
12/31/17 03:37:58,-3
12/31/17 03:38:58,0
12/31/17 03:39:58,0
12/31/17 03:40:58,2
12/31/17 03:41:58,0
12/31/17 03:42:58,-3
12/31/17 03:43:58,-1
12/31/17 03:44:58,-3
12/31/17 03:45:58,-2
12/31/17 03:46:58,6
12/31/17 03:47:58,0
12/31/17 03:48:58,9
12/31/17 03:49:57,3
12/31/17 03:50:57,-10
12/31/17 03:51:57,-1
12/31/17 03:52:57,-15
12/31/17 03:53:57,-1
12/31/17 03:54:57,0
12/31/17 03:55:57,-1
12/31/17 03:56:57,0
12/31/17 03:57:57,4
12/31/17 03:58:57,-1
12/31/17 03:59:57,1
12/31/17 04:00:57,41
12/31/17 04:01:57,0
12/31/17 04:02:57,-3
12/31/17 04:03:57,0
12/31/17 04:04:57,7
12/31/17 04:05:57,0
12/31/17 04:06:57,7
12/31/17 04:07:57,0
12/31/17 04:08:57,5
12/31/17 04:09:57,-20
12/31/17 04:10:57,0
12/31/17 04:11:57,-1
12/31/17 04:12:57,-5
12/31/17 04:13:57,25
12/31/17 04:14:57,28
12/31/17 04:15:57,13
12/31/17 04:16:58,1
12/31/17 04:17:58,0
12/31/17 04:18:58,2
12/31/17 04:19:57,25
12/31/17 04:20:57,-4
12/31/17 04:21:57,-3
12/31/17 04:22:57,34
12/31/17 04:23:57,15
12/31/17 04:24:57,-4
12/31/17 04:25:57,3
12/31/17 04:26:57,1
12/31/17 04:27:57,9
12/31/17 04:28:57,7
12/31/17 04:29:57,2
12/31/17 04:30:57,3
12/31/17 04:31:57,0
12/31/17 04:32:57,-2
12/31/17 04:33:57,-2
12/31/17 04:34:57,7
12/31/17 04:35:57,2
12/31/17 04:36:57,-1
12/31/17 04:37:57,4
12/31/17 04:38:57,13
12/31/17 04:39:57,20
12/31/17 04:40:57,9
12/31/17 04:41:57,0
12/31/17 04:42:57,7
12/31/17 04:43:57,12
12/31/17 04:44:57,30
12/31/17 04:45:57,9
12/31/17 04:46:57,9
12/31/17 04:47:58,1
12/31/17 04:48:58,15
12/31/17 04:49:58,-2
12/31/17 04:50:57,15
12/31/17 04:51:57,13
12/31/17 04:52:57,34
12/31/17 04:53:57,16
12/31/17 04:54:57,9
12/31/17 04:55:57,-2
12/31/17 04:56:57,4
12/31/17 04:57:57,0
12/31/17 04:58:57,9
12/31/17 04:59:57,12
12/31/17 05:00:57,10
12/31/17 05:01:57,9
12/31/17 05:02:57,26
12/31/17 05:03:57,11
12/31/17 05:04:57,0
12/31/17 05:05:57,3
12/31/17 05:06:57,-3
12/31/17 05:07:57,-1
12/31/17 05:08:57,4
12/31/17 05:09:57,-1
12/31/17 05:10:57,2
12/31/17 05:11:57,-1
12/31/17 05:12:57,0
12/31/17 05:13:57,1
12/31/17 05:14:57,10
12/31/17 05:15:57,62
12/31/17 05:16:57,-1
12/31/17 05:17:57,3
12/31/17 05:18:57,4
12/31/17 05:19:57,-1
12/31/17 05:20:56,-18
12/31/17 05:21:56,-5
12/31/17 05:22:56,25
12/31/17 05:23:56,12
12/31/17 05:24:56,20
12/31/17 05:25:56,3
12/31/17 05:26:56,6
12/31/17 05:27:56,-1
12/31/17 05:28:56,0
12/31/17 05:29:56,-2
12/31/17 05:30:56,69
12/31/17 05:31:56,-4
12/31/17 05:32:56,-2
12/31/17 05:33:56,10
12/31/17 05:34:56,39
12/31/17 05:35:56,1
12/31/17 05:36:56,7
12/31/17 05:37:56,10
12/31/17 05:38:56,6
12/31/17 05:39:56,5
12/31/17 05:41:00,0
12/31/17 05:42:00,-13
12/31/17 05:43:00,-1
12/31/17 05:44:00,-1
12/31/17 05:45:00,11
12/31/17 05:46:00,77
12/31/17 05:47:00,-1
12/31/17 05:48:00,2
12/31/17 05:49:00,4
12/31/17 05:50:00,9
12/31/17 05:51:00,6
12/31/17 05:52:00,3
12/31/17 05:53:00,-1
12/31/17 05:54:00,-1
12/31/17 05:55:00,19
12/31/17 05:56:59,18
12/31/17 05:57:59,11
12/31/17 05:58:59,-8
12/31/17 05:59:59,-17
12/31/17 06:00:59,3
12/31/17 06:01:59,3
12/31/17 06:02:59,0
12/31/17 06:03:59,2
12/31/17 06:04:59,1
12/31/17 06:05:59,-1
12/31/17 06:06:59,2
12/31/17 06:07:59,5
12/31/17 06:08:59,6
12/31/17 06:09:59,0
12/31/17 06:10:59,1
12/31/17 06:11:59,16
12/31/17 06:12:59,8
12/31/17 06:13:59,8
12/31/17 06:14:59,-2
12/31/17 06:15:59,12
12/31/17 06:16:59,-1
12/31/17 06:17:59,-9
12/31/17 06:18:59,-18
12/31/17 06:19:59,-5
12/31/17 06:20:59,-6
12/31/17 06:21:59,6
12/31/17 06:22:59,2
12/31/17 06:23:59,19
12/31/17 06:25:00,7
12/31/17 06:26:59,2
12/31/17 06:27:59,-4
