timestamp,Infrared to Red Signal Ratio
10/31/17 01:01:30,20
10/31/17 01:02:30,8
10/31/17 01:03:30,-2
10/31/17 01:04:30,-2
10/31/17 01:05:30,-1
10/31/17 01:06:32,0
10/31/17 01:07:32,0
10/31/17 01:08:32,20
10/31/17 01:09:32,-31
10/31/17 01:10:32,-9
10/31/17 01:11:32,3
10/31/17 01:12:32,-17
10/31/17 01:13:32,-1
10/31/17 01:14:32,6
10/31/17 01:15:32,0
10/31/17 01:16:32,-1
10/31/17 01:17:32,8
10/31/17 01:18:32,-2
10/31/17 01:19:32,-1
10/31/17 01:20:31,5
10/31/17 01:21:31,-4
10/31/17 01:22:33,1
10/31/17 01:23:33,3
10/31/17 01:24:33,0
10/31/17 01:25:33,1
10/31/17 01:26:33,2
10/31/17 01:27:33,-2
10/31/17 01:28:33,-7
10/31/17 01:29:33,0
10/31/17 01:30:33,0
10/31/17 01:31:33,-1
10/31/17 01:32:33,-2
10/31/17 01:33:33,-1
10/31/17 01:34:33,-1
10/31/17 01:35:33,0
10/31/17 01:36:33,0
10/31/17 01:37:33,1
10/31/17 01:38:35,4
10/31/17 01:39:35,-2
10/31/17 01:40:35,-3
10/31/17 01:41:35,0
10/31/17 01:42:35,0
10/31/17 01:43:35,3
10/31/17 01:44:35,1
10/31/17 01:45:35,-2
10/31/17 01:46:35,1
10/31/17 01:47:36,11
10/31/17 01:48:36,15
10/31/17 01:49:36,4
10/31/17 01:50:35,0
10/31/17 01:51:35,0
10/31/17 01:52:35,-3
10/31/17 01:53:35,5
10/31/17 01:54:35,3
10/31/17 01:55:35,28
10/31/17 01:56:35,0
10/31/17 01:57:35,9
10/31/17 01:58:35,1
10/31/17 01:59:35,-20
10/31/17 02:00:35,-4
10/31/17 02:01:35,6
10/31/17 02:02:35,5
10/31/17 02:03:35,24
10/31/17 02:04:35,-1
10/31/17 02:05:35,-1
10/31/17 02:06:35,0
10/31/17 02:07:35,4
10/31/17 02:08:35,14
10/31/17 02:09:35,0
10/31/17 02:10:35,-14
10/31/17 02:11:35,0
10/31/17 02:12:35,4
10/31/17 02:13:35,-1
10/31/17 02:14:35,-2
10/31/17 02:15:35,-1
10/31/17 02:16:35,0
10/31/17 02:17:35,4
10/31/17 02:18:35,-1
10/31/17 02:19:35,-1
10/31/17 02:20:35,3
10/31/17 02:21:34,-3
