timestamp,Infrared to Red Signal Ratio
10/22/19 00:00:59,0
10/22/19 00:01:59,-11
10/22/19 00:02:59,-11
10/22/19 00:03:59,-20
10/22/19 00:04:59,-3
10/22/19 00:05:59,-11
10/22/19 00:06:59,-1
10/22/19 00:07:59,-9
10/22/19 00:08:59,2
10/22/19 00:09:59,-2
10/22/19 00:10:59,-3
10/22/19 00:11:59,0
10/22/19 00:12:59,0
10/22/19 00:13:59,0
10/22/19 00:14:59,4
10/22/19 00:16:01,-68
10/22/19 00:17:01,3
10/22/19 00:18:01,16
10/22/19 00:19:01,0
10/22/19 00:20:00,0
10/22/19 00:21:00,-7
10/22/19 00:22:00,-25
10/22/19 00:23:00,-5
10/22/19 00:24:00,-3
10/22/19 00:25:00,-72
10/22/19 00:26:00,-16
10/22/19 00:27:00,-16
10/22/19 00:28:00,-4
10/22/19 00:29:00,3
10/22/19 00:30:00,0
10/22/19 00:31:00,-13
10/22/19 00:32:00,-48
10/22/19 00:33:00,2
10/22/19 00:34:00,-48
10/22/19 00:35:00,-53
10/22/19 00:36:00,-2
10/22/19 00:37:00,0
10/22/19 00:38:00,-14
10/22/19 00:39:00,-73
10/22/19 00:40:00,-95
10/22/19 00:41:00,-9
10/22/19 00:42:00,-13
10/22/19 00:43:00,-15
10/22/19 00:44:00,-26
10/22/19 00:45:00,-70
10/22/19 00:46:00,2
10/22/19 00:47:02,7
10/22/19 00:48:02,-2
10/22/19 00:49:02,2
10/22/19 00:50:01,19
10/22/19 00:51:01,0
10/22/19 00:52:01,4
10/22/19 00:53:01,-28
10/22/19 00:54:01,1
10/22/19 00:55:01,0
10/22/19 00:56:01,4
10/22/19 00:57:01,-6
10/22/19 00:58:01,2
10/22/19 00:59:01,3
10/22/19 01:00:01,3
10/22/19 01:01:01,-1
10/22/19 01:02:01,2
10/22/19 01:03:01,-1
10/22/19 01:04:01,2
10/22/19 01:05:01,-28
10/22/19 01:06:01,-4
10/22/19 01:07:01,0
10/22/19 01:08:01,0
10/22/19 01:09:01,-41
10/22/19 01:10:01,7
10/22/19 01:11:01,-4
10/22/19 01:12:01,-5
10/22/19 01:13:01,0
10/22/19 01:14:01,-13
10/22/19 01:15:01,-3
10/22/19 01:16:01,0
10/22/19 01:17:03,0
10/22/19 01:18:03,-8
10/22/19 01:19:03,0
10/22/19 01:20:02,11
10/22/19 01:21:02,-15
10/22/19 01:22:02,-14
10/22/19 01:23:02,-6
10/22/19 01:24:02,-51
10/22/19 01:25:02,-1
10/22/19 01:26:02,-63
10/22/19 01:27:02,-1
10/22/19 01:28:02,-1
10/22/19 01:29:02,-6
10/22/19 01:30:02,3
10/22/19 01:31:02,38
10/22/19 01:32:02,-2
10/22/19 01:33:02,-1
10/22/19 01:34:02,2
10/22/19 01:35:02,1
10/22/19 01:36:02,-17
10/22/19 01:37:02,-11
10/22/19 01:38:02,0
10/22/19 01:39:02,0
10/22/19 01:40:02,-3
10/22/19 01:41:02,28
10/22/19 01:42:02,7
10/22/19 01:43:02,-1
10/22/19 01:44:02,6
10/22/19 01:45:02,5
10/22/19 01:46:02,30
10/22/19 01:47:02,31
10/22/19 01:48:02,1
10/22/19 01:49:02,20
10/22/19 01:50:02,11
10/22/19 01:51:01,-2
10/22/19 01:52:01,-1
10/22/19 01:53:01,8
10/22/19 01:54:01,2
10/22/19 01:55:01,-1
10/22/19 01:56:01,-4
10/22/19 01:57:01,-1
10/22/19 01:58:01,0
10/22/19 01:59:01,7
10/22/19 02:00:01,4
10/22/19 02:01:01,14
10/22/19 02:02:01,19
10/22/19 02:03:01,1
10/22/19 02:04:01,1
10/22/19 02:05:01,-1
10/22/19 02:06:01,-1
10/22/19 02:07:01,0
10/22/19 02:08:01,2
10/22/19 02:09:01,-58
10/22/19 02:10:01,0
10/22/19 02:11:01,-1
10/22/19 02:12:01,-3
10/22/19 02:13:01,2
10/22/19 02:14:01,4
10/22/19 02:15:01,-1
10/22/19 02:16:01,16
