timestamp,Infrared to Red Signal Ratio
10/17/18 02:45:30,-14
10/17/18 02:46:30,11
10/17/18 02:47:30,-5
10/17/18 02:48:30,-7
10/17/18 02:49:30,0
10/17/18 02:50:30,2
10/17/18 02:51:30,-2
10/17/18 02:52:30,1
10/17/18 02:53:30,7
10/17/18 02:54:30,18
10/17/18 02:55:30,-9
10/17/18 02:56:30,2
10/17/18 02:57:30,-10
10/17/18 02:58:30,-25
10/17/18 02:59:34,2
10/17/18 03:00:34,-18
10/17/18 03:01:34,10
10/17/18 03:02:34,2
10/17/18 03:03:34,11
10/17/18 03:04:34,-21
10/17/18 03:05:34,1
10/17/18 03:06:34,-17
10/17/18 03:07:34,-3
10/17/18 03:08:33,-8
10/17/18 03:09:33,23
10/17/18 03:10:33,-7
10/17/18 03:11:33,8
10/17/18 03:12:33,-1
10/17/18 03:13:33,0
10/17/18 03:14:33,0
10/17/18 03:15:35,0
10/17/18 03:16:35,0
10/17/18 03:17:35,13
10/17/18 03:18:35,0
10/17/18 03:19:35,4
10/17/18 03:20:35,4
10/17/18 03:21:35,-1
10/17/18 03:22:35,-3
10/17/18 03:23:35,-2
10/17/18 03:24:35,-1
10/17/18 03:25:35,0
10/17/18 03:26:35,-11
10/17/18 03:27:46,0
10/17/18 03:28:46,0
10/17/18 03:29:46,0
10/17/18 03:30:46,-8
10/17/18 03:31:46,0
10/17/18 03:32:46,12
10/17/18 03:33:46,4
10/17/18 03:34:46,-3
10/17/18 03:35:47,1
10/17/18 03:36:47,0
10/17/18 03:37:47,0
10/17/18 03:38:46,-5
10/17/18 03:39:46,-2
10/17/18 03:40:46,0
10/17/18 03:41:46,0
10/17/18 03:42:46,-32
10/17/18 03:43:48,-38
10/17/18 03:44:48,-15
10/17/18 03:45:48,0
10/17/18 03:46:48,10
10/17/18 03:47:48,77
10/17/18 03:48:48,18
10/17/18 03:49:48,13
10/17/18 03:50:48,0
10/17/18 03:51:48,-2
10/17/18 03:52:48,-25
10/17/18 03:53:48,-4
10/17/18 03:54:48,35
10/17/18 03:55:48,-2
10/17/18 03:56:48,8
10/17/18 03:57:48,-37
10/17/18 03:58:48,21
10/17/18 03:59:48,50
10/17/18 04:00:48,1
10/17/18 04:01:48,-2
10/17/18 04:02:48,5
10/17/18 04:03:48,-2
10/17/18 04:04:48,-1
10/17/18 04:05:49,-1
10/17/18 04:06:49,-6
10/17/18 04:07:49,-3
10/17/18 04:08:48,-4
10/17/18 04:09:48,-2
10/17/18 04:10:48,-1
10/17/18 04:11:48,13
10/17/18 04:12:48,0
10/17/18 04:13:48,0
10/17/18 04:14:48,7
10/17/18 04:15:50,3
10/17/18 04:16:50,0
10/17/18 04:17:50,1
10/17/18 04:18:50,7
10/17/18 04:19:50,0
10/17/18 04:20:50,1
10/17/18 04:21:50,-1
10/17/18 04:22:50,-1
10/17/18 04:23:50,-1
10/17/18 04:24:50,-3
10/17/18 04:25:50,-2
10/17/18 04:26:50,0
10/17/18 04:27:50,-61
10/17/18 04:28:50,-1
10/17/18 04:29:50,-6
10/17/18 04:30:50,1
10/17/18 04:31:50,-10
10/17/18 04:32:50,-7
10/17/18 04:33:50,-1
10/17/18 04:34:50,-5
10/17/18 04:35:50,0
10/17/18 04:36:50,10
10/17/18 04:37:50,0
10/17/18 04:38:49,-4
10/17/18 04:39:49,4
10/17/18 04:40:49,-4
10/17/18 04:41:49,16
10/17/18 04:42:49,1
10/17/18 04:43:49,-24
10/17/18 04:44:49,-45
10/17/18 04:45:49,0
10/17/18 04:46:49,3
10/17/18 04:47:51,-7
10/17/18 04:48:51,18
10/17/18 04:49:51,0
10/17/18 04:50:51,0
10/17/18 04:51:51,2
10/17/18 04:52:51,0
10/17/18 04:53:51,0
