timestamp,Infrared to Red Signal Ratio
01/06/20 00:15:00,0
01/06/20 00:16:00,-5
01/06/20 00:17:00,-1
01/06/20 00:18:00,0
01/06/20 00:19:00,0
01/06/20 00:20:00,-2
01/06/20 00:21:00,-6
01/06/20 00:22:00,21
01/06/20 00:23:00,8
01/06/20 00:24:00,-2
01/06/20 00:25:00,0
01/06/20 00:26:00,-1
01/06/20 00:27:00,10
01/06/20 00:28:00,-45
01/06/20 00:29:00,-4
01/06/20 00:30:02,0
01/06/20 00:31:02,6
01/06/20 00:32:02,-1
01/06/20 00:33:01,3
01/06/20 00:34:01,-1
01/06/20 00:35:01,-13
01/06/20 00:36:01,12
01/06/20 00:37:01,8
01/06/20 00:38:01,0
01/06/20 00:39:01,6
01/06/20 00:40:01,3
01/06/20 00:41:01,0
01/06/20 00:42:01,0
01/06/20 00:43:01,4
01/06/20 00:44:01,-1
01/06/20 00:45:01,-9
01/06/20 00:46:01,18
01/06/20 00:47:01,14
01/06/20 00:48:01,3
01/06/20 00:49:01,12
01/06/20 00:50:01,-1
01/06/20 00:51:01,-3
01/06/20 00:52:01,0
01/06/20 00:53:01,-5
01/06/20 00:54:01,0
01/06/20 00:55:01,-3
01/06/20 00:56:01,0
01/06/20 00:57:01,66
01/06/20 00:58:01,0
01/06/20 00:59:01,0
01/06/20 01:00:01,-5
01/06/20 01:01:01,0
01/06/20 01:02:01,18
01/06/20 01:03:00,-9
01/06/20 01:04:00,0
01/06/20 01:05:00,15
01/06/20 01:06:00,15
01/06/20 01:07:00,21
01/06/20 01:08:00,0
01/06/20 01:09:00,0
01/06/20 01:10:00,0
01/06/20 01:11:00,33
01/06/20 01:12:00,5
01/06/20 01:13:00,1
01/06/20 01:14:00,4
01/06/20 01:15:00,20
01/06/20 01:16:00,1
01/06/20 01:17:00,-1
01/06/20 01:18:00,-1
01/06/20 01:19:00,32
01/06/20 01:20:00,30
01/06/20 01:21:00,12
01/06/20 01:22:00,43
01/06/20 01:23:00,1
01/06/20 01:24:00,-6
01/06/20 01:25:00,3
01/06/20 01:26:00,25
01/06/20 01:27:00,26
01/06/20 01:28:00,15
01/06/20 01:29:00,5
01/06/20 01:30:02,12
01/06/20 01:31:02,23
01/06/20 01:32:02,25
01/06/20 01:33:01,19
01/06/20 01:34:01,21
01/06/20 01:35:01,7
01/06/20 01:36:01,17
01/06/20 01:37:01,12
01/06/20 01:38:01,11
01/06/20 01:39:01,19
01/06/20 01:40:01,20
01/06/20 01:41:01,42
01/06/20 01:42:01,38
01/06/20 01:43:01,1
01/06/20 01:44:01,-11
01/06/20 01:45:01,7
01/06/20 01:46:01,4
01/06/20 01:47:01,-9
01/06/20 01:48:01,-2
01/06/20 01:49:01,13
01/06/20 01:50:01,-2
01/06/20 01:51:01,-16
01/06/20 01:52:01,-5
01/06/20 01:53:01,17
01/06/20 01:54:01,67
01/06/20 01:55:01,-14
01/06/20 01:56:01,31
01/06/20 01:57:01,10
01/06/20 01:58:01,-25
01/06/20 01:59:01,25
01/06/20 02:00:01,45
01/06/20 02:01:01,5
01/06/20 02:02:01,-4
01/06/20 02:03:01,43
01/06/20 02:04:00,2
01/06/20 02:05:00,0
01/06/20 02:06:00,-25
01/06/20 02:07:00,29
01/06/20 02:08:00,12
01/06/20 02:09:00,60
01/06/20 02:10:00,-1
01/06/20 02:11:00,0
01/06/20 02:12:00,-1
01/06/20 02:13:00,-2
01/06/20 02:14:00,-1
01/06/20 02:15:00,0
01/06/20 02:16:00,-1
01/06/20 02:17:00,0
01/06/20 02:18:00,0
01/06/20 02:19:00,8
01/06/20 02:20:00,1
01/06/20 02:21:00,-2
01/06/20 02:22:00,-1
01/06/20 02:23:00,-1
01/06/20 02:24:00,-1
01/06/20 02:25:00,1
01/06/20 02:26:00,0
01/06/20 02:27:00,1
01/06/20 02:28:02,-1
01/06/20 02:29:02,0
01/06/20 02:30:02,0
01/06/20 02:31:04,-4
01/06/20 02:32:04,2
01/06/20 02:33:04,-1
01/06/20 02:34:03,-2
01/06/20 02:35:03,17
01/06/20 02:36:03,-7
01/06/20 02:37:03,-8
01/06/20 02:38:03,1
01/06/20 02:39:03,-13
01/06/20 02:40:03,9
01/06/20 02:41:03,-2
01/06/20 02:42:03,33
01/06/20 02:43:03,19
01/06/20 02:44:03,0
01/06/20 02:45:03,0
01/06/20 02:46:03,-1
01/06/20 02:47:03,10
01/06/20 02:48:03,4
01/06/20 02:49:03,-2
01/06/20 02:50:03,8
01/06/20 02:51:03,0
01/06/20 02:52:03,-33
01/06/20 02:53:03,-1
01/06/20 02:54:03,-11
01/06/20 02:55:03,-4
01/06/20 02:56:03,0
01/06/20 02:57:03,-1
01/06/20 02:58:03,-2
01/06/20 02:59:03,0
01/06/20 03:00:03,-1
01/06/20 03:01:03,-1
01/06/20 03:02:03,0
01/06/20 03:03:03,6
01/06/20 03:04:02,0
01/06/20 03:05:02,1
01/06/20 03:06:02,13
01/06/20 03:07:02,-2
01/06/20 03:08:02,2
01/06/20 03:09:02,14
01/06/20 03:10:02,0
01/06/20 03:11:02,-18
01/06/20 03:12:02,9
01/06/20 03:13:02,4
01/06/20 03:14:02,3
01/06/20 03:15:02,-1
01/06/20 03:16:02,1
01/06/20 03:17:02,1
01/06/20 03:18:02,17
01/06/20 03:19:02,10
01/06/20 03:20:02,2
01/06/20 03:21:02,3
01/06/20 03:22:02,5
01/06/20 03:23:02,10
01/06/20 03:24:02,-4
01/06/20 03:25:02,2
01/06/20 03:26:02,2
01/06/20 03:27:02,7
01/06/20 03:28:02,0
01/06/20 03:29:02,-1
01/06/20 03:30:02,-1
01/06/20 03:31:02,-1
01/06/20 03:32:02,-52
01/06/20 03:33:02,0
01/06/20 03:34:01,5
01/06/20 03:35:01,0
01/06/20 03:36:01,-9
01/06/20 03:37:01,4
01/06/20 03:38:01,-26
01/06/20 03:39:01,0
01/06/20 03:40:01,1
01/06/20 03:41:01,7
01/06/20 03:42:01,0
01/06/20 03:43:01,0
01/06/20 03:44:01,-4
01/06/20 03:45:01,-1
01/06/20 03:46:01,-1
01/06/20 03:47:01,-4
01/06/20 03:48:01,0
01/06/20 03:49:01,6
01/06/20 03:50:01,-4
01/06/20 03:51:01,-4
01/06/20 03:52:01,8
01/06/20 03:53:01,-1
01/06/20 03:54:01,11
01/06/20 03:55:01,1
01/06/20 03:56:01,0
01/06/20 03:57:01,-6
01/06/20 03:58:01,1
01/06/20 03:59:01,0
01/06/20 04:00:01,0
01/06/20 04:01:01,1
01/06/20 04:02:01,15
01/06/20 04:03:01,-2
01/06/20 04:04:01,-1
01/06/20 04:05:00,3
01/06/20 04:06:00,11
01/06/20 04:07:00,4
01/06/20 04:08:00,-2
01/06/20 04:09:00,0
01/06/20 04:10:00,-1
01/06/20 04:11:00,0
01/06/20 04:12:00,0
01/06/20 04:13:00,4
01/06/20 04:14:00,-1
01/06/20 04:15:00,0
01/06/20 04:16:00,-1
01/06/20 04:17:00,-1
01/06/20 04:18:00,-1
01/06/20 04:19:00,-1
01/06/20 04:20:00,11
01/06/20 04:21:00,1
01/06/20 04:22:00,0
01/06/20 04:23:00,0
01/06/20 04:24:00,-3
01/06/20 04:25:00,-1
01/06/20 04:26:00,-1
01/06/20 04:27:00,0
01/06/20 04:28:00,7
01/06/20 04:29:00,0
01/06/20 04:30:00,-5
01/06/20 04:31:00,-1
01/06/20 04:32:02,0
01/06/20 04:33:02,-1
01/06/20 04:34:02,1
01/06/20 04:35:01,1
01/06/20 04:36:01,2
01/06/20 04:37:01,2
01/06/20 04:38:01,2
01/06/20 04:39:01,-1
01/06/20 04:40:01,-1
01/06/20 04:41:01,0
01/06/20 04:42:01,8
01/06/20 04:43:01,-9
01/06/20 04:44:01,-17
01/06/20 04:45:01,2
01/06/20 04:46:01,23
01/06/20 04:47:01,5
01/06/20 04:48:01,5
01/06/20 04:49:01,29
01/06/20 04:50:01,0
01/06/20 04:51:01,1
01/06/20 04:52:01,0
01/06/20 04:53:01,-7
01/06/20 04:54:01,11
01/06/20 04:55:01,-1
01/06/20 04:56:01,-1
01/06/20 04:57:01,8
01/06/20 04:58:01,-3
01/06/20 04:59:01,0
01/06/20 05:00:01,3
01/06/20 05:01:01,9
01/06/20 05:02:01,-1
01/06/20 05:03:01,-4
01/06/20 05:04:01,34
01/06/20 05:05:01,3
01/06/20 05:06:00,0
01/06/20 05:07:00,7
01/06/20 05:08:00,-6
01/06/20 05:09:00,0
01/06/20 05:10:00,0
01/06/20 05:11:00,-7
01/06/20 05:12:00,10
01/06/20 05:13:00,3
01/06/20 05:14:00,-4
01/06/20 05:15:00,0
01/06/20 05:16:00,-14
01/06/20 05:17:00,16
01/06/20 05:18:00,3
01/06/20 05:19:00,1
01/06/20 05:20:00,-1
01/06/20 05:21:00,0
01/06/20 05:22:00,2
01/06/20 05:23:00,9
01/06/20 05:24:00,16
01/06/20 05:25:00,0
01/06/20 05:26:00,-2
01/06/20 05:27:00,11
01/06/20 05:28:00,-9
01/06/20 05:29:00,0
01/06/20 05:30:00,-17
01/06/20 05:31:00,7
01/06/20 05:32:00,0
01/06/20 05:33:02,5
01/06/20 05:34:02,-2
01/06/20 05:35:02,0
01/06/20 05:36:01,10
01/06/20 05:37:01,7
01/06/20 05:38:01,22
01/06/20 05:39:01,9
01/06/20 05:40:01,2
01/06/20 05:41:01,15
01/06/20 05:42:01,17
01/06/20 05:43:01,18
01/06/20 05:44:01,6
01/06/20 05:45:01,49
01/06/20 05:46:01,0
01/06/20 05:47:01,-1
01/06/20 05:48:01,5
01/06/20 05:49:01,16
01/06/20 05:50:01,-1
01/06/20 05:51:01,0
01/06/20 05:52:01,25
01/06/20 05:53:01,-3
01/06/20 05:54:01,24
01/06/20 05:55:01,4
