timestamp,Infrared to Red Signal Ratio
10/16/18 00:10:00,13
10/16/18 00:11:00,-12
10/16/18 00:37:30,5
10/16/18 00:38:30,-5
10/16/18 00:39:30,2
10/16/18 00:40:30,3
10/16/18 00:41:30,-25
10/16/18 00:42:30,-21
10/16/18 00:43:30,6
10/16/18 00:44:30,5
10/16/18 00:45:30,0
10/16/18 00:46:30,5
10/16/18 00:47:30,-6
10/16/18 00:48:30,7
10/16/18 00:49:30,-13
10/16/18 00:50:30,0
10/16/18 00:51:30,3
10/16/18 00:52:30,-1
10/16/18 00:53:30,-2
10/16/18 00:54:30,9
10/16/18 00:55:29,0
10/16/18 00:56:29,14
10/16/18 00:57:29,-1
10/16/18 00:58:31,0
10/16/18 00:59:31,1
10/16/18 01:00:31,11
10/16/18 01:01:31,-7
10/16/18 01:02:31,-20
10/16/18 01:03:31,-16
10/16/18 01:04:31,-1
10/16/18 01:05:31,-5
10/16/18 01:06:31,-7
10/16/18 01:07:31,4
10/16/18 01:08:31,13
10/16/18 01:09:31,8
10/16/18 01:10:31,36
10/16/18 01:11:31,39
10/16/18 01:12:31,16
10/16/18 01:13:31,0
10/16/18 01:14:31,0
10/16/18 01:15:31,15
10/16/18 01:16:31,0
10/16/18 01:17:31,-1
10/16/18 01:18:31,-49
10/16/18 01:19:31,-7
10/16/18 01:20:31,-4
10/16/18 01:21:31,2
10/16/18 01:22:31,0
10/16/18 01:23:31,2
10/16/18 01:24:31,2
10/16/18 01:25:30,2
10/16/18 01:26:30,-2
10/16/18 01:27:30,-28
10/16/18 01:28:30,-17
10/16/18 01:29:30,57
10/16/18 01:30:32,41
10/16/18 01:31:32,5
10/16/18 01:32:32,52
10/16/18 01:33:32,34
10/16/18 01:34:32,2
10/16/18 01:35:32,11
10/16/18 01:36:32,15
10/16/18 01:37:32,19
10/16/18 01:38:32,3
10/16/18 01:39:32,0
10/16/18 01:40:32,-1
10/16/18 01:41:32,1
10/16/18 01:42:32,0
10/16/18 01:43:32,11
10/16/18 01:44:32,0
10/16/18 01:45:32,-1
10/16/18 01:46:32,4
10/16/18 01:47:32,3
10/16/18 01:48:32,1
10/16/18 01:49:32,20
10/16/18 01:50:32,0
10/16/18 01:51:32,-1
10/16/18 01:52:32,-1
10/16/18 01:53:32,-1
10/16/18 01:54:32,-3
10/16/18 01:55:31,-1
10/16/18 01:56:31,0
10/16/18 01:57:31,2
10/16/18 01:58:31,0
10/16/18 01:59:31,-1
10/16/18 02:00:31,-1
10/16/18 02:01:31,-1
10/16/18 02:02:33,-1
10/16/18 02:03:33,0
10/16/18 02:04:33,-2
10/16/18 02:05:33,-3
10/16/18 02:06:33,0
10/16/18 02:07:33,-2
10/16/18 02:08:33,-2
10/16/18 02:09:33,1
10/16/18 02:10:33,0
10/16/18 02:11:33,-2
10/16/18 02:12:33,0
10/16/18 02:13:33,-3
10/16/18 02:14:33,0
10/16/18 02:15:33,7
10/16/18 02:16:33,1
10/16/18 02:17:33,1
10/16/18 02:18:33,-2
10/16/18 02:19:33,-2
10/16/18 02:20:33,-2
10/16/18 02:21:33,1
10/16/18 02:22:33,-5
10/16/18 02:23:33,-3
10/16/18 02:24:33,-1
10/16/18 02:25:33,-4
10/16/18 02:26:32,-1
10/16/18 02:27:32,-1
10/16/18 02:28:32,0
10/16/18 02:29:34,0
10/16/18 02:30:34,0
10/16/18 02:31:34,-1
10/16/18 02:32:34,-3
10/16/18 02:33:34,0
10/16/18 02:34:34,13
10/16/18 02:35:34,27
10/16/18 02:36:34,0
10/16/18 02:37:34,2
10/16/18 02:38:34,-1
10/16/18 02:39:34,2
10/16/18 02:40:34,0
10/16/18 02:41:34,1
10/16/18 02:42:34,-7
10/16/18 02:43:34,-39
10/16/18 02:44:34,13
10/16/18 02:45:36,27
10/16/18 02:46:36,2
10/16/18 02:47:36,-1
10/16/18 02:48:36,-5
10/16/18 02:49:36,0
10/16/18 02:50:36,23
10/16/18 02:51:36,-18
10/16/18 02:52:36,-12
10/16/18 02:53:36,0
10/16/18 02:54:36,0
10/16/18 02:55:36,0
10/16/18 02:56:35,-1
10/16/18 02:57:35,-2
10/16/18 02:58:35,-3
10/16/18 02:59:35,0
10/16/18 03:00:35,-2
10/16/18 03:01:37,0
10/16/18 03:02:37,-2
10/16/18 03:03:37,-3
10/16/18 03:04:37,2
10/16/18 03:05:37,-1
10/16/18 03:06:37,-6
10/16/18 03:07:37,-1
10/16/18 03:08:37,0
10/16/18 03:09:37,-5
10/16/18 03:10:37,-1
10/16/18 03:11:37,-1
10/16/18 03:12:37,-1
10/16/18 03:13:37,0
10/16/18 03:14:37,1
10/16/18 03:15:37,13
10/16/18 03:16:37,0
10/16/18 03:17:37,-1
10/16/18 03:18:37,-4
10/16/18 03:19:37,1
10/16/18 03:20:37,-1
10/16/18 03:21:37,0
10/16/18 03:22:37,0
10/16/18 03:23:37,-1
10/16/18 03:24:37,0
10/16/18 03:25:37,-13
10/16/18 03:26:36,-10
10/16/18 03:27:36,0
10/16/18 03:28:36,-3
10/16/18 03:29:36,-5
10/16/18 03:30:36,0
10/16/18 03:31:36,-1
10/16/18 03:32:36,0
10/16/18 03:33:38,-5
10/16/18 03:34:38,-6
10/16/18 03:35:38,-10
10/16/18 03:36:38,-2
10/16/18 03:37:38,-3
10/16/18 03:38:38,0
10/16/18 03:39:38,-6
10/16/18 03:40:38,-3
10/16/18 03:41:38,-12
10/16/18 03:42:38,0
10/16/18 03:43:38,-23
10/16/18 03:44:38,0
10/16/18 03:45:38,-3
10/16/18 03:46:38,21
10/16/18 03:47:38,15
10/16/18 03:48:38,1
10/16/18 03:49:38,-5
10/16/18 03:50:38,-3
10/16/18 03:51:38,-5
10/16/18 03:52:38,-10
10/16/18 03:53:38,3
10/16/18 03:54:38,1
10/16/18 03:55:38,-3
10/16/18 03:56:37,-6
10/16/18 03:57:37,-1
10/16/18 03:58:37,5
10/16/18 03:59:37,-1
10/16/18 04:00:37,-1
10/16/18 04:01:37,-1
10/16/18 04:02:37,0
10/16/18 04:03:37,0
10/16/18 04:04:37,6
10/16/18 04:05:39,-1
10/16/18 04:06:39,15
10/16/18 04:07:39,0
10/16/18 04:08:39,3
10/16/18 04:09:39,0
10/16/18 04:10:39,-3
10/16/18 04:11:39,-1
10/16/18 04:12:39,0
10/16/18 04:13:39,0
10/16/18 04:14:39,1
10/16/18 04:15:39,0
10/16/18 04:16:39,15
10/16/18 04:17:39,21
