timestamp,Infrared to Red Signal Ratio
11/28/19 00:58:00,-15
11/28/19 00:59:00,-13
11/28/19 01:00:00,0
11/28/19 01:07:00,7
11/28/19 01:08:00,0
11/28/19 01:09:00,-2
11/28/19 01:10:00,-5
11/28/19 01:11:00,1
11/28/19 01:12:00,-5
11/28/19 01:13:00,0
11/28/19 01:14:00,-4
11/28/19 01:15:00,-23
11/28/19 01:16:00,20
11/28/19 01:17:00,-1
11/28/19 01:18:00,10
11/28/19 01:19:00,0
11/28/19 01:20:00,-1
11/28/19 01:21:00,-24
11/28/19 01:22:00,-2
11/28/19 01:23:00,-10
11/28/19 01:24:00,-3
11/28/19 01:25:00,-12
11/28/19 01:26:00,13
11/28/19 01:27:00,4
11/28/19 01:28:00,15
11/28/19 01:29:00,2
11/28/19 01:30:00,-1
11/28/19 01:31:00,1
11/28/19 01:32:00,2
11/28/19 01:33:00,-3
11/28/19 01:34:02,55
11/28/19 01:35:02,-1
11/28/19 01:36:02,-10
11/28/19 01:37:01,20
11/28/19 01:38:01,-2
11/28/19 01:39:01,30
11/28/19 01:40:01,-1
11/28/19 01:41:01,1
11/28/19 01:42:01,0
11/28/19 01:43:01,-2
11/28/19 01:44:01,-3
11/28/19 01:45:01,5
11/28/19 01:46:01,0
11/28/19 01:47:01,-15
11/28/19 01:48:01,0
11/28/19 01:49:01,-2
11/28/19 01:50:01,6
11/28/19 01:51:01,0
11/28/19 01:52:01,0
11/28/19 01:53:01,6
11/28/19 01:54:01,2
11/28/19 01:55:01,3
11/28/19 01:56:01,13
11/28/19 01:57:01,-13
11/28/19 01:58:01,-2
11/28/19 01:59:01,-1
11/28/19 02:00:01,0
11/28/19 02:01:01,0
11/28/19 02:02:01,10
11/28/19 02:03:01,7
11/28/19 02:04:01,-6
11/28/19 02:05:01,8
11/28/19 02:06:01,4
11/28/19 02:07:01,-1
11/28/19 02:08:00,1
11/28/19 02:09:00,0
11/28/19 02:10:00,-1
11/28/19 02:11:00,-2
11/28/19 02:12:00,-6
11/28/19 02:13:00,5
11/28/19 02:14:00,0
11/28/19 02:15:00,-1
11/28/19 02:16:00,2
11/28/19 02:17:00,0
11/28/19 02:18:00,0
11/28/19 02:19:00,-1
11/28/19 02:20:00,-2
11/28/19 02:21:00,-1
11/28/19 02:22:00,6
11/28/19 02:23:00,23
11/28/19 02:24:00,12
11/28/19 02:25:00,-12
11/28/19 02:26:00,0
11/28/19 02:27:00,-50
11/28/19 02:28:00,-1
11/28/19 02:29:00,0
11/28/19 02:30:00,-20
11/28/19 02:31:00,9
11/28/19 02:32:00,-12
11/28/19 02:33:00,0
11/28/19 02:34:01,-1
11/28/19 02:35:01,0
11/28/19 02:36:01,-1
11/28/19 02:37:00,1
11/28/19 02:38:00,0
11/28/19 02:39:00,2
11/28/19 02:40:00,14
11/28/19 02:41:00,-2
11/28/19 02:42:00,-1
11/28/19 02:43:00,0
11/28/19 02:44:00,-3
11/28/19 02:45:00,-1
11/28/19 02:46:00,-2
11/28/19 02:47:00,-1
11/28/19 02:48:00,1
11/28/19 02:49:00,1
11/28/19 02:50:00,20
11/28/19 02:51:00,-11
11/28/19 02:52:00,0
11/28/19 02:53:00,-4
11/28/19 02:54:00,-1
11/28/19 02:55:00,-2
11/28/19 02:56:00,2
11/28/19 02:57:00,-5
11/28/19 02:58:00,0
11/28/19 02:59:00,-1
11/28/19 03:00:00,13
11/28/19 03:01:00,3
11/28/19 03:02:00,-14
11/28/19 03:03:00,-11
11/28/19 03:27:30,-7
11/28/19 03:28:30,3
11/28/19 03:29:30,-1
11/28/19 03:30:30,4
