timestamp,Infrared to Red Signal Ratio
05/10/19 00:48:00,5
05/10/19 00:49:00,-27
05/10/19 00:50:00,-22
05/10/19 00:51:01,12
05/10/19 00:52:01,0
05/10/19 00:53:01,-5
05/10/19 00:54:01,9
05/10/19 00:55:00,0
05/10/19 00:56:00,-1
05/10/19 00:57:00,0
05/10/19 00:58:00,-3
05/10/19 00:59:03,-11
05/10/19 01:00:03,-1
05/10/19 01:01:03,2
05/10/19 01:02:03,0
05/10/19 01:03:03,-5
05/10/19 01:04:03,-1
05/10/19 01:05:03,-1
05/10/19 01:06:03,2
05/10/19 01:07:03,4
05/10/19 01:08:03,-4
05/10/19 01:09:03,-2
05/10/19 01:10:03,-2
05/10/19 01:11:03,5
05/10/19 01:12:03,5
05/10/19 01:13:03,0
05/10/19 01:14:03,-3
05/10/19 01:15:03,0
05/10/19 01:16:03,-6
05/10/19 01:17:03,-1
05/10/19 01:18:03,0
05/10/19 01:19:03,3
05/10/19 01:20:03,0
05/10/19 01:21:03,-1
05/10/19 01:22:05,15
05/10/19 01:23:05,-4
05/10/19 01:24:05,-16
05/10/19 01:25:04,0
05/10/19 01:26:04,4
05/10/19 01:27:04,1
05/10/19 01:28:04,1
05/10/19 01:29:04,1
05/10/19 01:30:04,8
05/10/19 01:31:06,-18
05/10/19 01:32:06,0
05/10/19 01:33:06,-3
05/10/19 01:34:06,-14
05/10/19 01:35:06,-1
05/10/19 01:36:06,8
05/10/19 01:37:06,-2
05/10/19 01:38:06,-21
05/10/19 01:39:06,-12
05/10/19 01:40:06,-2
05/10/19 01:41:06,-7
05/10/19 01:42:06,-2
05/10/19 01:43:06,0
05/10/19 01:44:06,-18
05/10/19 01:45:06,-10
05/10/19 01:46:06,12
05/10/19 01:47:06,-39
05/10/19 01:48:06,-15
05/10/19 01:49:06,0
05/10/19 01:50:06,18
05/10/19 01:51:06,-4
05/10/19 01:52:06,-3
05/10/19 01:53:06,0
05/10/19 01:54:06,0
05/10/19 01:55:05,1
05/10/19 01:56:05,0
05/10/19 01:57:05,1
05/10/19 01:58:05,6
05/10/19 01:59:05,0
05/10/19 02:00:05,0
05/10/19 02:01:05,4
05/10/19 02:02:05,-6
05/10/19 02:03:07,2
05/10/19 02:04:07,-1
05/10/19 02:05:07,0
05/10/19 02:06:07,-9
05/10/19 02:07:07,2
05/10/19 02:08:07,-39
05/10/19 02:09:07,-8
05/10/19 02:10:07,0
05/10/19 02:11:07,-1
05/10/19 02:12:07,0
05/10/19 02:13:07,3
05/10/19 02:14:07,-1
05/10/19 02:15:07,0
05/10/19 02:16:07,-2
05/10/19 02:17:07,4
05/10/19 02:18:07,-5
05/10/19 02:19:07,0
05/10/19 02:20:07,2
05/10/19 02:21:07,-4
05/10/19 02:22:07,0
05/10/19 02:23:07,0
05/10/19 02:24:07,1
05/10/19 02:25:07,3
05/10/19 02:26:06,-1
05/10/19 02:27:06,-5
05/10/19 02:28:06,0
05/10/19 02:29:06,0
05/10/19 02:30:06,0
05/10/19 02:31:06,0
05/10/19 02:32:06,5
05/10/19 02:33:06,0
05/10/19 02:34:10,-5
05/10/19 02:35:10,-22
05/10/19 02:36:10,0
05/10/19 02:37:10,16
05/10/19 02:38:10,1
05/10/19 02:39:10,0
05/10/19 02:40:10,-7
05/10/19 02:41:10,-1
05/10/19 02:42:10,-1
05/10/19 02:43:10,-7
05/10/19 02:44:10,-2
05/10/19 02:45:10,0
05/10/19 02:46:10,1
05/10/19 02:47:10,-7
05/10/19 02:48:10,-4
05/10/19 02:49:10,2
05/10/19 02:50:10,3
05/10/19 02:51:10,-3
05/10/19 02:52:10,3
05/10/19 02:53:10,-1
05/10/19 02:54:10,0
05/10/19 02:55:10,-1
05/10/19 02:56:09,1
05/10/19 02:57:09,-4
05/10/19 02:58:09,-1
05/10/19 02:59:09,0
05/10/19 03:00:09,-10
05/10/19 03:01:09,-9
05/10/19 03:02:09,-2
05/10/19 03:03:09,0
05/10/19 03:04:09,-2
05/10/19 03:05:12,-3
05/10/19 03:06:12,5
05/10/19 03:07:12,14
05/10/19 03:08:12,0
05/10/19 03:09:12,-5
05/10/19 03:10:12,0
05/10/19 03:11:12,-1
05/10/19 03:12:12,0
05/10/19 03:13:14,0
05/10/19 03:14:14,6
05/10/19 03:15:14,0
05/10/19 03:16:14,23
05/10/19 03:17:14,0
05/10/19 03:18:14,-9
05/10/19 03:19:14,-12
05/10/19 03:20:14,-29
05/10/19 03:21:14,6
05/10/19 03:22:14,0
05/10/19 03:23:14,9
05/10/19 03:24:14,0
05/10/19 03:25:14,8
05/10/19 03:26:13,-1
05/10/19 03:27:13,-1
05/10/19 03:28:13,-3
05/10/19 03:29:13,-22
05/10/19 03:30:13,0
05/10/19 03:31:13,4
05/10/19 03:32:13,-2
05/10/19 03:33:13,-2
05/10/19 03:34:13,-2
05/10/19 03:35:13,-1
05/10/19 03:36:13,-1
05/10/19 03:37:13,0
05/10/19 03:38:13,6
05/10/19 03:39:13,-3
05/10/19 03:40:13,2
05/10/19 03:41:13,2
05/10/19 03:42:13,0
05/10/19 03:43:13,-1
05/10/19 03:44:13,0
05/10/19 03:45:13,0
05/10/19 03:46:13,-2
05/10/19 03:47:13,-4
05/10/19 03:48:13,-1
05/10/19 03:49:13,-1
05/10/19 03:50:13,-3
05/10/19 03:51:13,-1
05/10/19 03:52:13,5
05/10/19 03:53:13,0
05/10/19 03:54:13,-1
05/10/19 03:55:13,-4
05/10/19 03:56:12,-1
05/10/19 03:57:12,-3
05/10/19 03:58:12,-5
05/10/19 03:59:12,-3
05/10/19 04:00:12,-2
05/10/19 04:01:12,-1
05/10/19 04:02:12,-1
05/10/19 04:03:12,1
05/10/19 04:04:12,0
05/10/19 04:05:12,0
05/10/19 04:06:12,-1
05/10/19 04:07:12,0
05/10/19 04:08:12,1
05/10/19 04:09:12,-13
05/10/19 04:10:12,0
05/10/19 04:11:12,-1
05/10/19 04:12:12,-1
05/10/19 04:13:12,1
05/10/19 04:14:12,0
05/10/19 04:15:12,1
05/10/19 04:16:12,0
05/10/19 04:17:12,-1
05/10/19 04:18:12,-3
05/10/19 04:19:12,-2
05/10/19 04:20:12,-2
05/10/19 04:21:12,-6
05/10/19 04:22:12,0
05/10/19 04:23:12,-61
05/10/19 04:24:12,0
05/10/19 04:25:14,3
05/10/19 04:26:14,0
05/10/19 04:27:13,-4
05/10/19 04:28:13,14
05/10/19 04:29:13,0
05/10/19 04:30:13,0
05/10/19 04:31:13,-1
05/10/19 04:32:13,5
05/10/19 04:33:13,20
05/10/19 04:34:13,1
05/10/19 04:35:13,0
05/10/19 04:36:13,0
05/10/19 04:37:13,-1
05/10/19 04:38:13,-1
05/10/19 04:39:13,5
05/10/19 04:40:13,-1
05/10/19 04:41:13,-1
05/10/19 04:42:13,31
05/10/19 04:43:13,-19
05/10/19 04:44:13,7
05/10/19 04:45:13,-1
05/10/19 04:46:13,1
05/10/19 04:47:13,1
05/10/19 04:48:13,-2
05/10/19 04:49:13,-3
05/10/19 04:50:13,1
05/10/19 04:51:13,-1
05/10/19 04:52:13,-2
05/10/19 04:53:13,1
05/10/19 04:54:13,1
05/10/19 04:55:13,12
05/10/19 04:56:13,4
05/10/19 04:57:14,-2
05/10/19 04:58:14,-2
05/10/19 04:59:14,6
05/10/19 05:00:14,0
05/10/19 05:01:14,0
05/10/19 05:02:14,0
05/10/19 05:03:14,0
05/10/19 05:04:14,-1
05/10/19 05:05:14,8
05/10/19 05:06:14,0
05/10/19 05:07:14,1
05/10/19 05:08:14,-1
05/10/19 05:14:14,4
05/10/19 05:15:14,-10
05/10/19 05:16:14,5
05/10/19 05:17:14,-4
05/10/19 05:18:14,3
05/10/19 05:19:14,0
05/10/19 05:20:14,-1
05/10/19 05:21:14,5
05/10/19 05:22:14,4
05/10/19 05:23:14,0
05/10/19 05:24:14,-11
05/10/19 05:25:14,1
05/10/19 05:26:14,-2
05/10/19 05:27:14,-1
05/10/19 05:28:13,2
05/10/19 05:29:13,0
05/10/19 05:30:13,2
05/10/19 05:31:13,4
05/10/19 05:32:13,-5
05/10/19 05:33:15,9
05/10/19 05:34:15,-8
05/10/19 05:35:15,2
05/10/19 05:36:15,-2
05/10/19 05:37:15,-3
05/10/19 05:38:15,-13
05/10/19 05:39:15,0
05/10/19 05:40:15,0
05/10/19 05:41:15,-3
05/10/19 05:42:15,2
05/10/19 05:43:15,0
05/10/19 05:44:15,-1
05/10/19 05:45:17,-6
05/10/19 05:46:17,12
05/10/19 05:47:17,-7
05/10/19 05:48:17,3
05/10/19 05:49:17,-1
05/10/19 05:50:17,1
05/10/19 05:51:17,0
05/10/19 05:52:17,7
05/10/19 05:53:17,0
05/10/19 05:54:17,-5
05/10/19 05:55:17,0
05/10/19 05:56:17,1
05/10/19 05:57:17,0
05/10/19 05:58:16,-4
05/10/19 05:59:16,0
05/10/19 06:00:16,1
05/10/19 06:01:19,3
05/10/19 06:02:19,2
05/10/19 06:03:19,8
05/10/19 06:04:19,3
05/10/19 06:05:19,42
05/10/19 06:06:19,12
05/10/19 06:07:19,16
05/10/19 06:08:19,0
05/10/19 06:09:19,0
05/10/19 06:10:19,-2
05/10/19 06:11:19,0
05/10/19 06:12:19,-1
05/10/19 06:13:19,17
05/10/19 06:14:19,-3
05/10/19 06:15:19,3
05/10/19 06:16:19,10
05/10/19 06:17:19,-1
05/10/19 06:18:19,-26
05/10/19 06:19:19,-1
05/10/19 06:20:19,1
05/10/19 06:21:19,-1
05/10/19 06:22:19,-11
05/10/19 06:23:19,-24
05/10/19 06:24:19,-11
05/10/19 06:25:20,-57
05/10/19 06:26:20,-4
05/10/19 06:27:20,-1
05/10/19 06:28:19,-1
05/10/19 06:29:19,13
05/10/19 06:30:19,-2
05/10/19 06:31:19,2
05/10/19 06:32:19,1
05/10/19 06:33:21,2
05/10/19 06:34:21,4
05/10/19 06:35:21,-2
05/10/19 06:36:21,7
05/10/19 06:37:21,-2
05/10/19 06:38:21,-10
05/10/19 06:39:21,3
05/10/19 06:40:21,2
05/10/19 06:41:21,-18
05/10/19 06:42:21,2
05/10/19 06:43:21,-7
05/10/19 06:44:21,9
05/10/19 06:45:21,-1
05/10/19 06:46:21,0
05/10/19 06:47:21,-3
05/10/19 06:48:21,-13
05/10/19 06:49:21,-54
05/10/19 06:50:21,15
05/10/19 06:51:21,8
05/10/19 06:52:21,3
05/10/19 06:53:21,0
05/10/19 06:54:21,6
05/10/19 06:55:21,5
05/10/19 06:56:21,-1
05/10/19 06:57:21,-2
05/10/19 06:58:20,1
05/10/19 06:59:20,-1
05/10/19 07:00:20,2
05/10/19 07:01:20,1
05/10/19 07:02:20,5
05/10/19 07:03:20,5
05/10/19 07:04:20,0
05/10/19 07:05:22,0
05/10/19 07:06:22,3
05/10/19 07:07:22,0
05/10/19 07:08:22,5
05/10/19 07:09:22,2
05/10/19 07:10:22,0
05/10/19 07:11:22,0
05/10/19 07:12:22,-9
05/10/19 07:13:22,0
05/10/19 07:14:22,0
05/10/19 07:15:22,10
05/10/19 07:16:22,5
05/10/19 07:17:22,-19
05/10/19 07:18:22,1
05/10/19 07:19:22,0
05/10/19 07:20:22,-1
05/10/19 07:21:22,-16
05/10/19 07:22:22,15
05/10/19 07:23:22,5
05/10/19 07:24:22,5
05/10/19 07:25:24,8
05/10/19 07:26:24,-1
05/10/19 07:27:24,25
05/10/19 07:28:23,0
05/10/19 07:29:23,11
05/10/19 07:30:23,-1
05/10/19 07:31:23,6
05/10/19 07:32:23,1
05/10/19 07:33:23,-35
05/10/19 07:34:23,-10
05/10/19 07:35:23,-2
05/10/19 07:36:23,-1
05/10/19 07:37:25,-2
05/10/19 07:38:25,-6
05/10/19 07:39:25,0
05/10/19 07:40:25,-2
05/10/19 07:41:25,0
05/10/19 07:42:25,-1
05/10/19 07:43:25,-12
05/10/19 07:44:25,-1
05/10/19 07:45:25,-1
05/10/19 07:46:25,2
05/10/19 07:47:25,0
05/10/19 07:48:25,2
05/10/19 07:49:25,0
05/10/19 07:50:25,0
05/10/19 07:51:25,11
05/10/19 07:52:25,-10
05/10/19 07:53:25,-4
05/10/19 07:54:25,41
05/10/19 07:55:25,40
05/10/19 07:56:25,-1
05/10/19 07:57:25,18
05/10/19 07:58:25,7
05/10/19 07:59:24,0
05/10/19 08:00:24,23
05/10/19 08:01:24,28
05/10/19 08:02:24,12
05/10/19 08:03:24,7
05/10/19 08:04:24,0
05/10/19 08:05:24,36
05/10/19 08:06:24,34
05/10/19 08:07:24,8
05/10/19 08:08:24,-22
05/10/19 08:09:26,-6
05/10/19 08:10:26,33
05/10/19 08:11:26,23
05/10/19 08:12:26,13
05/10/19 08:13:26,4
05/10/19 08:14:26,18
05/10/19 08:15:26,0
05/10/19 08:16:26,-11
05/10/19 08:17:26,-8
05/10/19 08:18:26,20
05/10/19 08:19:26,-4
05/10/19 08:20:26,0
05/10/19 08:21:26,8
05/10/19 08:22:26,-1
05/10/19 08:23:26,-1
05/10/19 08:24:26,0
05/10/19 08:25:26,-1
05/10/19 08:26:27,0
05/10/19 08:27:27,0
05/10/19 08:28:27,1
05/10/19 08:29:26,1
05/10/19 08:30:26,-10
05/10/19 08:31:26,2
05/10/19 08:32:26,0
05/10/19 08:33:26,-1
05/10/19 08:34:26,12
05/10/19 08:35:26,-18
05/10/19 08:36:26,-3
05/10/19 08:37:26,2
05/10/19 08:38:26,-1
05/10/19 08:39:26,29
05/10/19 08:40:26,11
05/10/19 08:41:28,12
